Nationalities,Year,Kolumna2
Malaysian,2006,1
Malaysian,2007,1
Malaysian,2008,1
Malaysian,2009,1
Malaysian,2010,1
Malaysian,2011,1
Malaysian,2012,1
Malaysian,2013,1
Malaysian,2014,1
Malaysian,2015,1
Malaysian,2016,1
Malaysian,2017,1
Malaysian,2018,1
Malaysian,2019,1
Malaysian,2020,1
Malaysian,2021,1
Malaysian,2022,1
Mexican,1950,0
Mexican,1951,0
Mexican,1952,0
Mexican,1953,0
Mexican,1954,0
Mexican,1955,0
Mexican,1956,0
Mexican,1957,0
Mexican,1958,0
Mexican,1959,0
Mexican,1960,0
Mexican,1961,1
Mexican,1962,1
Mexican,1963,3
Mexican,1964,3
Mexican,1965,3
Mexican,1966,3
Mexican,1967,3
Mexican,1968,3
Mexican,1969,3
Mexican,1970,3
Mexican,1971,3
Mexican,1972,3
Mexican,1973,3
Mexican,1974,3
Mexican,1975,3
Mexican,1976,3
Mexican,1977,4
Mexican,1978,4
Mexican,1979,4
Mexican,1980,4
Mexican,1981,4
Mexican,1982,4
Mexican,1983,4
Mexican,1984,4
Mexican,1985,4
Mexican,1986,4
Mexican,1987,4
Mexican,1988,4
Mexican,1989,4
Mexican,1990,4
Mexican,1991,4
Mexican,1992,4
Mexican,1993,4
Mexican,1994,4
Mexican,1995,4
Mexican,1996,4
Mexican,1997,4
Mexican,1998,4
Mexican,1999,4
Mexican,2000,4
Mexican,2001,4
Mexican,2002,4
Mexican,2003,4
Mexican,2004,4
Mexican,2005,4
Mexican,2006,4
Mexican,2007,4
Mexican,2008,4
Mexican,2009,4
Mexican,2010,4
Mexican,2011,5
Mexican,2012,5
Mexican,2013,6
Mexican,2014,6
Mexican,2015,6
Mexican,2016,6
Mexican,2017,6
Mexican,2018,6
Mexican,2019,6
Mexican,2020,6
Mexican,2021,6
Mexican,2022,6
Monegasque,1950,1
Monegasque,1951,1
Monegasque,1952,1
Monegasque,1953,1
Monegasque,1954,1
Monegasque,1955,1
Monegasque,1956,1
Monegasque,1957,1
Monegasque,1958,2
Monegasque,1959,2
Monegasque,1960,2
Monegasque,1961,2
Monegasque,1962,2
Monegasque,1963,2
Monegasque,1964,2
Monegasque,1965,2
Monegasque,1966,2
Monegasque,1967,2
Monegasque,1968,2
Monegasque,1969,2
Monegasque,1970,2
Monegasque,1971,2
Monegasque,1972,2
Monegasque,1973,2
Monegasque,1974,2
Monegasque,1975,2
Monegasque,1976,2
Monegasque,1977,2
Monegasque,1978,2
Monegasque,1979,2
Monegasque,1980,2
Monegasque,1981,2
Monegasque,1982,2
Monegasque,1983,2
Monegasque,1984,2
Monegasque,1985,2
Monegasque,1986,2
Monegasque,1987,2
Monegasque,1988,2
Monegasque,1989,2
Monegasque,1990,2
Monegasque,1991,2
Monegasque,1992,2
Monegasque,1993,2
Monegasque,1994,3
Monegasque,1995,3
Monegasque,1996,3
Monegasque,1997,3
Monegasque,1998,3
Monegasque,1999,3
Monegasque,2000,3
Monegasque,2001,3
Monegasque,2002,3
Monegasque,2003,3
Monegasque,2004,3
Monegasque,2005,3
Monegasque,2006,3
Monegasque,2007,3
Monegasque,2008,3
Monegasque,2009,3
Monegasque,2010,3
Monegasque,2011,3
Monegasque,2012,3
Monegasque,2013,3
Monegasque,2014,3
Monegasque,2015,3
Monegasque,2016,3
Monegasque,2017,3
Monegasque,2018,4
Monegasque,2019,4
Monegasque,2020,4
Monegasque,2021,4
Monegasque,2022,4
New Zealander,1950,0
New Zealander,1951,0
New Zealander,1952,0
New Zealander,1953,0
New Zealander,1954,0
New Zealander,1955,0
New Zealander,1956,0
New Zealander,1957,0
New Zealander,1958,1
New Zealander,1959,1
New Zealander,1960,1
New Zealander,1961,1
New Zealander,1962,2
New Zealander,1963,3
New Zealander,1964,3
New Zealander,1965,4
New Zealander,1966,4
New Zealander,1967,4
New Zealander,1968,4
New Zealander,1969,4
New Zealander,1970,4
New Zealander,1971,5
New Zealander,1972,5
New Zealander,1973,6
New Zealander,1974,7
New Zealander,1975,7
New Zealander,1976,7
New Zealander,1977,7
New Zealander,1978,7
New Zealander,1979,7
New Zealander,1980,8
New Zealander,1981,8
New Zealander,1982,8
New Zealander,1983,8
New Zealander,1984,8
New Zealander,1985,8
New Zealander,1986,8
New Zealander,1987,8
New Zealander,1988,8
New Zealander,1989,8
New Zealander,1990,8
New Zealander,1991,8
New Zealander,1992,8
New Zealander,1993,8
New Zealander,1994,8
New Zealander,1995,8
New Zealander,1996,8
New Zealander,1997,8
New Zealander,1998,8
New Zealander,1999,8
New Zealander,2000,8
New Zealander,2001,8
New Zealander,2002,8
New Zealander,2003,8
New Zealander,2004,8
New Zealander,2005,8
New Zealander,2006,8
New Zealander,2007,8
New Zealander,2008,8
New Zealander,2009,8
New Zealander,2010,8
New Zealander,2011,8
New Zealander,2012,8
New Zealander,2013,8
New Zealander,2014,8
New Zealander,2015,8
New Zealander,2016,8
New Zealander,2017,9
New Zealander,2018,9
New Zealander,2019,9
New Zealander,2020,9
New Zealander,2021,9
New Zealander,2022,9
Polish,1950,0
Polish,1951,0
Polish,1952,0
Polish,1953,0
Polish,1954,0
Polish,1955,0
Polish,1956,0
Polish,1957,0
Polish,1958,0
Polish,1959,0
Polish,1960,0
Polish,1961,0
Polish,1962,0
Polish,1963,0
Polish,1964,0
Polish,1965,0
Polish,1966,0
Polish,1967,0
Polish,1968,0
Polish,1969,0
Polish,1970,0
Polish,1971,0
Polish,1972,0
Polish,1973,0
Polish,1974,0
Polish,1975,0
Polish,1976,0
Polish,1977,0
Polish,1978,0
Polish,1979,0
Polish,1980,0
Polish,1981,0
Polish,1982,0
Polish,1983,0
Polish,1984,0
Polish,1985,0
Polish,1986,0
Polish,1987,0
Polish,1988,0
Polish,1989,0
Polish,1990,0
Polish,1991,0
Polish,1992,0
Polish,1993,0
Polish,1994,0
Polish,1995,0
Polish,1996,0
Polish,1997,0
Polish,1998,0
Polish,1999,0
Polish,2000,0
Polish,2001,0
Polish,2002,0
Polish,2003,0
Polish,2004,0
Polish,2005,0
Polish,2006,1
Polish,2007,1
Polish,2008,1
Polish,2009,1
Polish,2010,1
Polish,2011,1
Polish,2012,1
Polish,2013,1
Polish,2014,1
Polish,2015,1
Polish,2016,1
Polish,2017,1
Polish,2018,1
Polish,2019,1
Polish,2020,1
Polish,2021,1
Polish,2022,1
Portuguese,1950,0
Portuguese,1951,0
Portuguese,1952,0
Portuguese,1953,0
Portuguese,1954,0
Portuguese,1955,0
Portuguese,1956,0
Portuguese,1957,0
Portuguese,1958,0
Portuguese,1959,1
Portuguese,1960,1
Portuguese,1961,1
Portuguese,1962,1
Portuguese,1963,1
Portuguese,1964,1
Portuguese,1965,1
Portuguese,1966,1
Portuguese,1967,1
Portuguese,1968,1
Portuguese,1969,1
Portuguese,1970,1
Portuguese,1971,1
Portuguese,1972,1
Portuguese,1973,1
Portuguese,1974,1
Portuguese,1975,1
Portuguese,1976,1
Portuguese,1977,1
Portuguese,1978,1
Portuguese,1979,1
Portuguese,1980,1
Portuguese,1981,1
Portuguese,1982,1
Portuguese,1983,1
Portuguese,1984,1
Portuguese,1985,1
Portuguese,1986,1
Portuguese,1987,1
Portuguese,1988,1
Portuguese,1989,1
Portuguese,1990,1
Portuguese,1991,2
Portuguese,1992,2
Portuguese,1993,3
Portuguese,1994,3
Portuguese,1995,3
Portuguese,1996,3
Portuguese,1997,3
Portuguese,1998,3
Portuguese,1999,3
Portuguese,2000,3
Portuguese,2001,3
Portuguese,2002,3
Portuguese,2003,3
Portuguese,2004,3
Portuguese,2005,4
Portuguese,2006,4
Portuguese,2007,4
Portuguese,2008,4
Portuguese,2009,4
Portuguese,2010,4
Portuguese,2011,4
Portuguese,2012,4
Portuguese,2013,4
Portuguese,2014,4
Portuguese,2015,4
Portuguese,2016,4
Portuguese,2017,4
Portuguese,2018,4
Portuguese,2019,4
Portuguese,2020,4
Portuguese,2021,4
Portuguese,2022,4
Rhodesian,1950,0
Rhodesian,1951,0
Rhodesian,1952,0
Rhodesian,1953,0
Rhodesian,1954,0
Rhodesian,1955,0
Rhodesian,1956,0
Rhodesian,1957,0
Rhodesian,1958,0
Rhodesian,1959,0
Rhodesian,1960,0
Rhodesian,1961,0
Rhodesian,1962,3
Rhodesian,1963,3
Rhodesian,1964,3
Rhodesian,1965,4
Rhodesian,1966,4
Rhodesian,1967,4
Rhodesian,1968,4
Rhodesian,1969,4
Rhodesian,1970,4
Rhodesian,1971,4
Rhodesian,1972,4
Rhodesian,1973,4
Rhodesian,1974,4
Rhodesian,1975,4
Rhodesian,1976,4
Rhodesian,1977,4
Rhodesian,1978,4
Rhodesian,1979,4
Rhodesian,1980,4
Rhodesian,1981,4
Rhodesian,1982,4
Rhodesian,1983,4
Rhodesian,1984,4
Rhodesian,1985,4
Rhodesian,1986,4
Rhodesian,1987,4
Rhodesian,1988,4
Rhodesian,1989,4
Rhodesian,1990,4
Rhodesian,1991,4
Rhodesian,1992,4
Rhodesian,1993,4
Rhodesian,1994,4
Rhodesian,1995,4
Rhodesian,1996,4
Rhodesian,1997,4
Rhodesian,1998,4
Rhodesian,1999,4
Rhodesian,2000,4
Rhodesian,2001,4
Rhodesian,2002,4
Rhodesian,2003,4
Rhodesian,2004,4
Rhodesian,2005,4
Rhodesian,2006,4
Rhodesian,2007,4
Rhodesian,2008,4
Rhodesian,2009,4
Rhodesian,2010,4
Rhodesian,2011,4
Rhodesian,2012,4
Rhodesian,2013,4
Rhodesian,2014,4
Rhodesian,2015,4
Rhodesian,2016,4
Rhodesian,2017,4
Rhodesian,2018,4
Rhodesian,2019,4
Rhodesian,2020,4
Rhodesian,2021,4
Rhodesian,2022,4
Russian,1950,0
Russian,1951,0
Russian,1952,0
Russian,1953,0
Russian,1954,0
Russian,1955,0
Russian,1956,0
Russian,1957,0
Russian,1958,0
Russian,1959,0
Russian,1960,0
Russian,1961,0
Russian,1962,0
Russian,1963,0
Russian,1964,0
Russian,1965,0
Russian,1966,0
Russian,1967,0
Russian,1968,0
Russian,1969,0
Russian,1970,0
Russian,1971,0
Russian,1972,0
Russian,1973,0
Russian,1974,0
Russian,1975,0
Russian,1976,0
Russian,1977,0
Russian,1978,0
Russian,1979,0
Russian,1980,0
Russian,1981,0
Russian,1982,0
Russian,1983,0
Russian,1984,0
Russian,1985,0
Russian,1986,0
Russian,1987,0
Russian,1988,0
Russian,1989,0
Russian,1990,0
Russian,1991,0
Russian,1992,0
Russian,1993,0
Russian,1994,0
Russian,1995,0
Russian,1996,0
Russian,1997,0
Russian,1998,0
Russian,1999,0
Russian,2000,0
Russian,2001,0
Russian,2002,0
Russian,2003,0
Russian,2004,0
Russian,2005,0
Russian,2006,0
Russian,2007,0
Russian,2008,0
Russian,2009,0
Russian,2010,1
Russian,2011,1
Russian,2012,1
Russian,2013,1
Russian,2014,2
Russian,2015,2
Russian,2016,2
Russian,2017,2
Russian,2018,3
Russian,2019,3
Russian,2020,3
Russian,2021,4
Russian,2022,4
South African,1950,0
South African,1951,0
South African,1952,0
South African,1953,0
South African,1954,0
South African,1955,0
South African,1956,0
South African,1957,0
South African,1958,0
South African,1959,0
South African,1960,0
South African,1961,1
South African,1962,7
South African,1963,11
South African,1964,11
South African,1965,16
South African,1966,16
South African,1967,17
South African,1968,18
South African,1969,18
South African,1970,18
South African,1971,18
South African,1972,19
South African,1973,20
South African,1974,21
South African,1975,22
South African,1976,22
South African,1977,22
South African,1978,22
South African,1979,22
South African,1980,23
South African,1981,23
South African,1982,23
South African,1983,23
South African,1984,23
South African,1985,23
South African,1986,23
South African,1987,23
South African,1988,23
South African,1989,23
South African,1990,23
South African,1991,23
South African,1992,23
South African,1993,23
South African,1994,23
South African,1995,23
South African,1996,23
South African,1997,23
South African,1998,23
South African,1999,23
South African,2000,23
South African,2001,23
South African,2002,23
South African,2003,23
South African,2004,23
South African,2005,23
South African,2006,23
South African,2007,23
South African,2008,23
South African,2009,23
South African,2010,23
South African,2011,23
South African,2012,23
South African,2013,23
South African,2014,23
South African,2015,23
South African,2016,23
South African,2017,23
South African,2018,23
South African,2019,23
South African,2020,23
South African,2021,23
South African,2022,23
Spanish,1950,0
Spanish,1951,2
Spanish,1952,2
Spanish,1953,2
Spanish,1954,2
Spanish,1955,2
Spanish,1956,3
Spanish,1957,3
Spanish,1958,3
Spanish,1959,3
Spanish,1960,4
Spanish,1961,4
Spanish,1962,4
Spanish,1963,4
Spanish,1964,4
Spanish,1965,4
Spanish,1966,4
Spanish,1967,4
Spanish,1968,4
Spanish,1969,4
Spanish,1970,5
Spanish,1971,5
Spanish,1972,5
Spanish,1973,5
Spanish,1974,5
Spanish,1975,5
Spanish,1976,7
Spanish,1977,7
Spanish,1978,7
Spanish,1979,7
Spanish,1980,7
Spanish,1981,7
Spanish,1982,7
Spanish,1983,7
Spanish,1984,7
Spanish,1985,7
Spanish,1986,7
Spanish,1987,8
Spanish,1988,9
Spanish,1989,9
Spanish,1990,9
Spanish,1991,9
Spanish,1992,9
Spanish,1993,9
Spanish,1994,9
Spanish,1995,9
Spanish,1996,9
Spanish,1997,9
Spanish,1998,9
Spanish,1999,11
Spanish,2000,11
Spanish,2001,12
Spanish,2002,12
Spanish,2003,12
Spanish,2004,12
Spanish,2005,12
Spanish,2006,12
Spanish,2007,12
Spanish,2008,12
Spanish,2009,13
Spanish,2010,13
Spanish,2011,13
Spanish,2012,13
Spanish,2013,13
Spanish,2014,13
Spanish,2015,15
Spanish,2016,15
Spanish,2017,15
Spanish,2018,15
Spanish,2019,15
Spanish,2020,15
Spanish,2021,15
Spanish,2022,15
Swedish,1950,0
Swedish,1951,0
Swedish,1952,0
Swedish,1953,0
Swedish,1954,0
Swedish,1955,0
Swedish,1956,1
Swedish,1957,1
Swedish,1958,1
Swedish,1959,1
Swedish,1960,1
Swedish,1961,1
Swedish,1962,1
Swedish,1963,1
Swedish,1964,1
Swedish,1965,1
Swedish,1966,1
Swedish,1967,1
Swedish,1968,1
Swedish,1969,1
Swedish,1970,3
Swedish,1971,3
Swedish,1972,3
Swedish,1973,3
Swedish,1974,4
Swedish,1975,5
Swedish,1976,7
Swedish,1977,7
Swedish,1978,7
Swedish,1979,7
Swedish,1980,8
Swedish,1981,9
Swedish,1982,9
Swedish,1983,9
Swedish,1984,9
Swedish,1985,9
Swedish,1986,9
Swedish,1987,9
Swedish,1988,9
Swedish,1989,9
Swedish,1990,9
Swedish,1991,9
Swedish,1992,9
Swedish,1993,9
Swedish,1994,9
Swedish,1995,9
Swedish,1996,9
Swedish,1997,9
Swedish,1998,9
Swedish,1999,9
Swedish,2000,9
Swedish,2001,9
Swedish,2002,9
Swedish,2003,9
Swedish,2004,9
Swedish,2005,9
Swedish,2006,9
Swedish,2007,9
Swedish,2008,9
Swedish,2009,9
Swedish,2010,9
Swedish,2011,9
Swedish,2012,9
Swedish,2013,9
Swedish,2014,10
Swedish,2015,10
Swedish,2016,10
Swedish,2017,10
Swedish,2018,10
Swedish,2019,10
Swedish,2020,10
Swedish,2021,10
Swedish,2022,10
Swiss,1950,2
Swiss,1951,4
Swiss,1952,6
Swiss,1953,7
Swiss,1954,8
Swiss,1955,8
Swiss,1956,8
Swiss,1957,8
Swiss,1958,8
Swiss,1959,8
Swiss,1960,8
Swiss,1961,10
Swiss,1962,13
Swiss,1963,13
Swiss,1964,13
Swiss,1965,13
Swiss,1966,13
Swiss,1967,14
Swiss,1968,14
Swiss,1969,14
Swiss,1970,15
Swiss,1971,15
Swiss,1972,15
Swiss,1973,15
Swiss,1974,15
Swiss,1975,16
Swiss,1976,17
Swiss,1977,17
Swiss,1978,17
Swiss,1979,18
Swiss,1980,18
Swiss,1981,18
Swiss,1982,18
Swiss,1983,18
Swiss,1984,18
Swiss,1985,18
Swiss,1986,18
Swiss,1987,19
Swiss,1988,19
Swiss,1989,20
Swiss,1990,20
Swiss,1991,20
Swiss,1992,21
Swiss,1993,21
Swiss,1994,22
Swiss,1995,22
Swiss,1996,22
Swiss,1997,22
Swiss,1998,22
Swiss,1999,22
Swiss,2000,22
Swiss,2001,22
Swiss,2002,22
Swiss,2003,22
Swiss,2004,22
Swiss,2005,22
Swiss,2006,22
Swiss,2007,22
Swiss,2008,22
Swiss,2009,23
Swiss,2010,23
Swiss,2011,23
Swiss,2012,23
Swiss,2013,23
Swiss,2014,23
Swiss,2015,23
Swiss,2016,23
Swiss,2017,23
Swiss,2018,23
Swiss,2019,23
Swiss,2020,23
Swiss,2021,23
Swiss,2022,23
Thai,1950,1
Thai,1951,1
Thai,1952,1
Thai,1953,1
Thai,1954,1
Thai,1955,1
Thai,1956,1
Thai,1957,1
Thai,1958,1
Thai,1959,1
Thai,1960,1
Thai,1961,1
Thai,1962,1
Thai,1963,1
Thai,1964,1
Thai,1965,1
Thai,1966,1
Thai,1967,1
Thai,1968,1
Thai,1969,1
Thai,1970,1
Thai,1971,1
Thai,1972,1
Thai,1973,1
Thai,1974,1
Thai,1975,1
Thai,1976,1
Thai,1977,1
Thai,1978,1
Thai,1979,1
Thai,1980,1
Thai,1981,1
Thai,1982,1
Thai,1983,1
Thai,1984,1
Thai,1985,1
Thai,1986,1
Thai,1987,1
Thai,1988,1
Thai,1989,1
Thai,1990,1
Thai,1991,1
Thai,1992,1
Thai,1993,1
Thai,1994,1
Thai,1995,1
Thai,1996,1
Thai,1997,1
Thai,1998,1
Thai,1999,1
Thai,2000,1
Thai,2001,1
Thai,2002,1
Thai,2003,1
Thai,2004,1
Thai,2005,1
Thai,2006,1
Thai,2007,1
Thai,2008,1
Thai,2009,1
Thai,2010,1
Thai,2011,1
Thai,2012,1
Thai,2013,1
Thai,2014,1
Thai,2015,1
Thai,2016,1
Thai,2017,1
Thai,2018,1
Thai,2019,2
Thai,2020,2
Thai,2021,2
Thai,2022,2
Uruguayan,1950,0
Uruguayan,1951,0
Uruguayan,1952,1
Uruguayan,1953,1
Uruguayan,1954,1
Uruguayan,1955,2
Uruguayan,1956,3
Uruguayan,1957,3
Uruguayan,1958,3
Uruguayan,1959,4
Uruguayan,1960,4
Uruguayan,1961,4
Uruguayan,1962,4
Uruguayan,1963,4
Uruguayan,1964,4
Uruguayan,1965,4
Uruguayan,1966,4
Uruguayan,1967,4
Uruguayan,1968,4
Uruguayan,1969,4
Uruguayan,1970,4
Uruguayan,1971,4
Uruguayan,1972,4
Uruguayan,1973,4
Uruguayan,1974,4
Uruguayan,1975,4
Uruguayan,1976,4
Uruguayan,1977,4
Uruguayan,1978,4
Uruguayan,1979,4
Uruguayan,1980,4
Uruguayan,1981,4
Uruguayan,1982,4
Uruguayan,1983,4
Uruguayan,1984,4
Uruguayan,1985,4
Uruguayan,1986,4
Uruguayan,1987,4
Uruguayan,1988,4
Uruguayan,1989,4
Uruguayan,1990,4
Uruguayan,1991,4
Uruguayan,1992,4
Uruguayan,1993,4
Uruguayan,1994,4
Uruguayan,1995,4
Uruguayan,1996,4
Uruguayan,1997,4
Uruguayan,1998,4
Uruguayan,1999,4
Uruguayan,2000,4
Uruguayan,2001,4
Uruguayan,2002,4
Uruguayan,2003,4
Uruguayan,2004,4
Uruguayan,2005,4
Uruguayan,2006,4
Uruguayan,2007,4
Uruguayan,2008,4
Uruguayan,2009,4
Uruguayan,2010,4
Uruguayan,2011,4
Uruguayan,2012,4
Uruguayan,2013,4
Uruguayan,2014,4
Uruguayan,2015,4
Uruguayan,2016,4
Uruguayan,2017,4
Uruguayan,2018,4
Uruguayan,2019,4
Uruguayan,2020,4
Uruguayan,2021,4
Uruguayan,2022,4
Venezuelan,1950,0
Venezuelan,1951,0
Venezuelan,1952,0
Venezuelan,1953,0
Venezuelan,1954,0
Venezuelan,1955,0
Venezuelan,1956,0
Venezuelan,1957,0
Venezuelan,1958,0
Venezuelan,1959,0
Venezuelan,1960,1
Venezuelan,1961,1
Venezuelan,1962,1
Venezuelan,1963,1
Venezuelan,1964,1
Venezuelan,1965,1
Venezuelan,1966,1
Venezuelan,1967,1
Venezuelan,1968,1
Venezuelan,1969,1
Venezuelan,1970,1
Venezuelan,1971,1
Venezuelan,1972,1
Venezuelan,1973,1
Venezuelan,1974,1
Venezuelan,1975,1
Venezuelan,1976,1
Venezuelan,1977,1
Venezuelan,1978,1
Venezuelan,1979,1
Venezuelan,1980,1
Venezuelan,1981,1
Venezuelan,1982,1
Venezuelan,1983,2
Venezuelan,1984,2
Venezuelan,1985,2
Venezuelan,1986,2
Venezuelan,1987,2
Venezuelan,1988,2
Venezuelan,1989,2
Venezuelan,1990,2
Venezuelan,1991,2
Venezuelan,1992,2
Venezuelan,1993,2
Venezuelan,1994,2
Venezuelan,1995,2
Venezuelan,1996,2
Venezuelan,1997,2
Venezuelan,1998,2
Venezuelan,1999,2
Venezuelan,2000,2
Venezuelan,2001,2
Venezuelan,2002,2
Venezuelan,2003,2
Venezuelan,2004,2
Venezuelan,2005,2
Venezuelan,2006,2
Venezuelan,2007,2
Venezuelan,2008,2
Venezuelan,2009,2
Venezuelan,2010,2
Venezuelan,2011,3
Venezuelan,2012,3
Venezuelan,2013,3
Venezuelan,2014,3
Venezuelan,2015,3
Venezuelan,2016,3
Venezuelan,2017,3
Venezuelan,2018,3
Venezuelan,2019,3
Venezuelan,2020,3
Venezuelan,2021,3
Venezuelan,2022,3
,,
